pull_time,created_time,advertiser_id,advertiser_name,advertiser_show_status,advertiser_type,timezone,currency,account_days,balance_reminder,company,contact_name,contact_email,create_time,first_recharge_cash,first_recharge_time,latest_recharge_time,recharge_amount,recharge_count,account_balance,valid_account_balance,frozen_balance,tax,cash_balance,valid_cash_balance,grant_balance,valid_grant_balance,bc_id,file_path
2022-09-02,2022-09-02 15:17:55,7080715298361360385,"bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED-中山市卓质光电科技有限公司5",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,156,,中山市卓质光电科技有限公司,,,2022-03-30 02:32:31,5000.0,2022-03-31 06:29:51,2022-03-31 06:29:51,5000.0,1,3792.94,3792.94,,,3292.94,3292.94,500.0,500.0,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080717275774369793,"安静-泗县若溪服饰-12bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,156,,泗县若溪服饰有限公司,,,2022-03-30 02:39:51,5000.0,2022-03-31 06:29:27,2022-03-31 06:29:27,5000.0,1,4371.74,4371.74,,,4371.74,4371.74,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080717280950190082,"安静-泗县若溪服饰-11bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,156,,泗县若溪服饰有限公司,,,2022-03-30 02:39:56,5000.0,2022-03-31 06:29:20,2022-03-31 06:29:20,5000.0,1,4068.44,4068.44,,,4068.44,4068.44,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080717275623391234,萌-泗县若溪服饰-10,SHOW_ACCOUNT_STATUS_PUNISHED,AUCTION,Asia/Shanghai,USD,156,,泗县若溪服饰有限公司,,,2022-03-30 02:40:03,5000.0,2022-03-31 06:29:11,2022-03-31 06:29:11,5000.0,1,4925.18,4925.18,,,4925.18,4925.18,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080717310910005250,"苏蓉-泗县若溪服饰-8bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,156,,泗县若溪服饰有限公司,,,2022-03-30 02:40:08,5000.0,2022-03-31 06:29:02,2022-03-31 06:29:02,5000.0,1,4476.72,4476.72,,,4476.72,4476.72,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080718772474068994,"崔蒙-5-广州市途外皮具有限公司-蓝标-bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,156,,广州市途外皮具有限公司,,,2022-03-30 02:45:47,5000.0,2022-03-31 06:26:07,2022-03-31 06:26:15,10000.0,2,3795.08,3795.08,,,3795.08,3795.08,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080718947976282113,"崔蒙-3-广州市途外皮具有限公司-蓝标-bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,156,,广州市途外皮具有限公司,,,2022-03-30 02:46:51,5000.0,2022-03-31 06:25:59,2022-04-12 09:02:23,15000.0,2,14173.47,14173.47,,,14173.47,14173.47,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080719009833861122,"王节-4-广州市途外皮具有限公司-蓝标-bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED",SHOW_ACCOUNT_STATUS_PUNISHED,AUCTION,Asia/Shanghai,USD,156,,广州市途外皮具有限公司,,,2022-03-30 02:46:56,5000.0,2022-03-31 06:25:52,2022-03-31 06:25:52,5000.0,1,4623.36,4623.36,,,4623.36,4623.36,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080719183717105665,"崔蒙-2-广州市途外皮具有限公司-蓝标-bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,156,,广州市途外皮具有限公司,,,2022-03-30 02:47:06,5000.0,2022-03-31 06:25:46,2022-03-31 06:25:46,5000.0,1,4877.18,4877.18,,,4877.18,4877.18,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080720728219336706,"bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED-深圳市仁迈科技有限公司4",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,156,,深圳市仁迈科技有限公司,,,2022-03-30 02:53:30,5000.0,2022-03-31 06:24:56,2022-03-31 06:24:56,5000.0,1,5000.0,5000.0,,,5000.0,5000.0,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080720675744382978,"bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED-深圳市仁迈科技有限公司3",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,156,,深圳市仁迈科技有限公司,,,2022-03-30 02:53:42,5000.0,2022-03-31 06:24:51,2022-03-31 06:24:51,5000.0,1,5000.0,5000.0,,,5000.0,5000.0,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080720862726389762,"bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED-深圳市仁迈科技有限公司2",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,156,,深圳市仁迈科技有限公司,,,2022-03-30 02:53:47,5000.0,2022-03-31 06:24:45,2022-03-31 06:24:45,5000.0,1,5000.0,5000.0,,,5000.0,5000.0,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080720871706427393,"bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED-深圳市仁迈科技有限公司5",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,156,,深圳市仁迈科技有限公司,,,2022-03-30 02:54:26,5000.0,2022-03-31 06:24:36,2022-03-31 06:24:36,5000.0,1,5000.0,5000.0,,,5000.0,5000.0,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080721998921482242,"中山宜尚科技有限公司B-蓝标bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED",SHOW_ACCOUNT_STATUS_PUNISHED,AUCTION,Asia/Shanghai,USD,156,,中山宜尚科技有限公司,,,2022-03-30 02:58:53,5000.0,2022-03-31 06:24:05,2022-03-31 06:24:05,5000.0,1,4286.75,4286.75,,,4286.75,4286.75,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080722231342039042,"中山宜尚科技有限公司C-蓝标bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,156,,中山宜尚科技有限公司,,,2022-03-30 02:58:58,5000.0,2022-03-31 06:23:59,2022-03-31 06:23:59,5000.0,1,4993.67,4993.67,,,4993.67,4993.67,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
